Номинация,Компания,cleaned_text,tokenized_text,lemmatized_text,pos_tags
Номинация «Культурные проекты»: ▪ «Русские сезоны Симачева» (ООО МСГ Консалтинг); ▪ «Доброволец» Проект «АиФ»; ▪  «Модельные библиотеки» (Федеральный проект «Культурная среда» национального проекта «Культура»)., «Модельные библиотеки» (Федеральный проект «Культурная среда» национального проекта «Культура»).,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Номинация', 'Культурные', 'проекты', 'Русские', 'сезоны', 'Симачева', 'ООО', 'МСГ', 'Консалтинг', 'Доброволец', 'Проект', 'АиФ', 'Модельные', 'библиотеки', 'Федеральный', 'проект', 'Культурная', 'среда', 'национального', 'проекта', 'Культура']","['Номинация', 'Культурные', 'проекты', 'Русские', 'сезоны', 'Симачева', 'ООО', 'МСГ', 'Консалтинг', 'Доброволец', 'Проект', 'АиФ', 'Модельные', 'библиотеки', 'Федеральный', 'проект', 'Культурная', 'среда', 'национального', 'проекта', 'Культура']","['Культурные', 'проекты', 'Русские', 'сезоны', 'Симачева', 'ООО', 'МСГ', 'Консалтинг', 'Доброволец', 'Проект', 'АиФ', 'Модельные', 'библиотеки', 'Федеральный', 'проект', 'Культурная', 'среда', 'национального', 'проекта', 'Культура']"
Специальные награды в номинации «Культурные проекты»: ▪ Шоу «Вован и Лексус».,Шоу «Вован и Лексус».,"['', '', '', '', '', '', '', '', '', '']","['Специальные', 'награды', 'в', 'номинации', 'Культурные', 'проекты', 'Шоу', 'Вован', 'и', 'Лексус']","['Специальные', 'награды', 'в', 'номинации', 'Культурные', 'проекты', 'Шоу', 'Вован', 'и', 'Лексус']","['награды', 'в', 'номинации', 'Культурные', 'проекты', 'Шоу', 'Вован', 'и', 'Лексус']"
Номинация «Подкасты и цифровой контент»: ▪ Марафон «Знание.Первые» (Российское общество Знание»); ▪ Подкаст «Страхи» – Медиагруппа «Россия сегодня»; ▪ «Культурная страна» – подкаст от ПАО Банк ВТБ; ▪ Подкаст «Психология: Мифы и Реальность» (выбор искусственного интеллекта).,Марафон «Знание.Первые» (Российское общество Знание»),"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Номинация', 'Подкасты', 'и', 'цифровой', 'контент', 'Марафон', 'ЗнаниеПервые', 'Российское', 'общество', 'Знание', 'Подкаст', 'Страхи', 'Медиагруппа', 'Россия', 'сегодня', 'Культурная', 'страна', 'подкаст', 'от', 'ПАО', 'Банк', 'ВТБ', 'Подкаст', 'Психология', 'Мифы', 'и', 'Реальность', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'Подкасты', 'и', 'цифровой', 'контент', 'Марафон', 'ЗнаниеПервые', 'Российское', 'общество', 'Знание', 'Подкаст', 'Страхи', 'Медиагруппа', 'Россия', 'сегодня', 'Культурная', 'страна', 'подкаст', 'от', 'ПАО', 'Банк', 'ВТБ', 'Подкаст', 'Психология', 'Мифы', 'и', 'Реальность', 'выбор', 'искусственного', 'интеллекта']","['Подкасты', 'и', 'цифровой', 'контент', 'Марафон', 'ЗнаниеПервые', 'Российское', 'общество', 'Знание', 'Подкаст', 'Страхи', 'Медиагруппа', 'Россия', 'сегодня', 'Культурная', 'страна', 'подкаст', 'от', 'ПАО', 'Банк', 'ВТБ', 'Подкаст', 'Психология', 'Мифы', 'и', 'Реальность', 'выбор', 'искусственного', 'интеллекта']"
Номинация «Подкасты и цифровой контент»: ▪ Марафон «Знание.Первые» (Российское общество Знание»); ▪ Подкаст «Страхи» – Медиагруппа «Россия сегодня»; ▪ «Культурная страна» – подкаст от ПАО Банк ВТБ; ▪ Подкаст «Психология: Мифы и Реальность» (выбор искусственного интеллекта).,Подкаст «Страхи» ,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Номинация', 'Подкасты', 'и', 'цифровой', 'контент', 'Марафон', 'ЗнаниеПервые', 'Российское', 'общество', 'Знание', 'Подкаст', 'Страхи', 'Медиагруппа', 'Россия', 'сегодня', 'Культурная', 'страна', 'подкаст', 'от', 'ПАО', 'Банк', 'ВТБ', 'Подкаст', 'Психология', 'Мифы', 'и', 'Реальность', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'Подкасты', 'и', 'цифровой', 'контент', 'Марафон', 'ЗнаниеПервые', 'Российское', 'общество', 'Знание', 'Подкаст', 'Страхи', 'Медиагруппа', 'Россия', 'сегодня', 'Культурная', 'страна', 'подкаст', 'от', 'ПАО', 'Банк', 'ВТБ', 'Подкаст', 'Психология', 'Мифы', 'и', 'Реальность', 'выбор', 'искусственного', 'интеллекта']","['Подкасты', 'и', 'цифровой', 'контент', 'Марафон', 'ЗнаниеПервые', 'Российское', 'общество', 'Знание', 'Подкаст', 'Страхи', 'Медиагруппа', 'Россия', 'сегодня', 'Культурная', 'страна', 'подкаст', 'от', 'ПАО', 'Банк', 'ВТБ', 'Подкаст', 'Психология', 'Мифы', 'и', 'Реальность', 'выбор', 'искусственного', 'интеллекта']"
Номинация «Подкасты и цифровой контент»: ▪ Марафон «Знание.Первые» (Российское общество Знание»); ▪ Подкаст «Страхи» – Медиагруппа «Россия сегодня»; ▪ «Культурная страна» – подкаст от ПАО Банк ВТБ; ▪ Подкаст «Психология: Мифы и Реальность» (выбор искусственного интеллекта).,«Культурная страна» ,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Номинация', 'Подкасты', 'и', 'цифровой', 'контент', 'Марафон', 'ЗнаниеПервые', 'Российское', 'общество', 'Знание', 'Подкаст', 'Страхи', 'Медиагруппа', 'Россия', 'сегодня', 'Культурная', 'страна', 'подкаст', 'от', 'ПАО', 'Банк', 'ВТБ', 'Подкаст', 'Психология', 'Мифы', 'и', 'Реальность', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'Подкасты', 'и', 'цифровой', 'контент', 'Марафон', 'ЗнаниеПервые', 'Российское', 'общество', 'Знание', 'Подкаст', 'Страхи', 'Медиагруппа', 'Россия', 'сегодня', 'Культурная', 'страна', 'подкаст', 'от', 'ПАО', 'Банк', 'ВТБ', 'Подкаст', 'Психология', 'Мифы', 'и', 'Реальность', 'выбор', 'искусственного', 'интеллекта']","['Подкасты', 'и', 'цифровой', 'контент', 'Марафон', 'ЗнаниеПервые', 'Российское', 'общество', 'Знание', 'Подкаст', 'Страхи', 'Медиагруппа', 'Россия', 'сегодня', 'Культурная', 'страна', 'подкаст', 'от', 'ПАО', 'Банк', 'ВТБ', 'Подкаст', 'Психология', 'Мифы', 'и', 'Реальность', 'выбор', 'искусственного', 'интеллекта']"
Номинация «Подкасты и цифровой контент»: ▪ Марафон «Знание.Первые» (Российское общество Знание»); ▪ Подкаст «Страхи» – Медиагруппа «Россия сегодня»; ▪ «Культурная страна» – подкаст от ПАО Банк ВТБ; ▪ Подкаст «Психология: Мифы и Реальность» (выбор искусственного интеллекта).,Подкаст «Психология,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Номинация', 'Подкасты', 'и', 'цифровой', 'контент', 'Марафон', 'ЗнаниеПервые', 'Российское', 'общество', 'Знание', 'Подкаст', 'Страхи', 'Медиагруппа', 'Россия', 'сегодня', 'Культурная', 'страна', 'подкаст', 'от', 'ПАО', 'Банк', 'ВТБ', 'Подкаст', 'Психология', 'Мифы', 'и', 'Реальность', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'Подкасты', 'и', 'цифровой', 'контент', 'Марафон', 'ЗнаниеПервые', 'Российское', 'общество', 'Знание', 'Подкаст', 'Страхи', 'Медиагруппа', 'Россия', 'сегодня', 'Культурная', 'страна', 'подкаст', 'от', 'ПАО', 'Банк', 'ВТБ', 'Подкаст', 'Психология', 'Мифы', 'и', 'Реальность', 'выбор', 'искусственного', 'интеллекта']","['Подкасты', 'и', 'цифровой', 'контент', 'Марафон', 'ЗнаниеПервые', 'Российское', 'общество', 'Знание', 'Подкаст', 'Страхи', 'Медиагруппа', 'Россия', 'сегодня', 'Культурная', 'страна', 'подкаст', 'от', 'ПАО', 'Банк', 'ВТБ', 'Подкаст', 'Психология', 'Мифы', 'и', 'Реальность', 'выбор', 'искусственного', 'интеллекта']"
Специальные награды в номинации «Подкасты и цифровой контент»: ▪ «Город для каждого» — Департамент информационных технологий города Москвы.,«Город для каждого» ,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Специальные', 'награды', 'в', 'номинации', 'Подкасты', 'и', 'цифровой', 'контент', 'Город', 'для', 'каждого', 'Департамент', 'информационных', 'технологий', 'города', 'Москвы']","['Специальные', 'награды', 'в', 'номинации', 'Подкасты', 'и', 'цифровой', 'контент', 'Город', 'для', 'каждого', 'Департамент', 'информационных', 'технологий', 'города', 'Москвы']","['награды', 'в', 'номинации', 'Подкасты', 'и', 'цифровой', 'контент', 'Город', 'для', 'каждого', 'Департамент', 'информационных', 'технологий', 'города', 'Москвы']"
"Номинация «Туризм и индустрия гостеприимства»: ▪ Авиасейлс; ▪ Точки притяжения (ФГБУ ""Центр содействия молодым специалистам""); ▪ МТС Travel; ▪ Ostrovok.ru  (выбор искусственного интеллекта).",Авиасейлс,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Travel', 'Ostrovokru', '', '', '']","['Номинация', 'Туризм', 'и', 'индустрия', 'гостеприимства', 'Авиасейлс', 'Точки', 'притяжения', 'ФГБУ', 'Центр', 'содействия', 'молодым', 'специалистам', 'МТС', 'Travel', 'Ostrovokru', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'Туризм', 'и', 'индустрия', 'гостеприимства', 'Авиасейлс', 'Точки', 'притяжения', 'ФГБУ', 'Центр', 'содействия', 'молодым', 'специалистам', 'МТС', 'Travel', 'Ostrovokru', 'выбор', 'искусственного', 'интеллекта']","['Туризм', 'и', 'индустрия', 'гостеприимства', 'Авиасейлс', 'Точки', 'притяжения', 'ФГБУ', 'Центр', 'содействия', 'молодым', 'специалистам', 'МТС', 'Travel', 'Ostrovokru', 'выбор', 'искусственного', 'интеллекта']"
"Номинация «Туризм и индустрия гостеприимства»: ▪ Авиасейлс; ▪ Точки притяжения (ФГБУ ""Центр содействия молодым специалистам""); ▪ МТС Travel; ▪ Ostrovok.ru  (выбор искусственного интеллекта).",Точки притяжения (ФГБУ ,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Travel', 'Ostrovokru', '', '', '']","['Номинация', 'Туризм', 'и', 'индустрия', 'гостеприимства', 'Авиасейлс', 'Точки', 'притяжения', 'ФГБУ', 'Центр', 'содействия', 'молодым', 'специалистам', 'МТС', 'Travel', 'Ostrovokru', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'Туризм', 'и', 'индустрия', 'гостеприимства', 'Авиасейлс', 'Точки', 'притяжения', 'ФГБУ', 'Центр', 'содействия', 'молодым', 'специалистам', 'МТС', 'Travel', 'Ostrovokru', 'выбор', 'искусственного', 'интеллекта']","['Туризм', 'и', 'индустрия', 'гостеприимства', 'Авиасейлс', 'Точки', 'притяжения', 'ФГБУ', 'Центр', 'содействия', 'молодым', 'специалистам', 'МТС', 'Travel', 'Ostrovokru', 'выбор', 'искусственного', 'интеллекта']"
"Номинация «Туризм и индустрия гостеприимства»: ▪ Авиасейлс; ▪ Точки притяжения (ФГБУ ""Центр содействия молодым специалистам""); ▪ МТС Travel; ▪ Ostrovok.ru  (выбор искусственного интеллекта).",МТС Travel,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Travel', 'Ostrovokru', '', '', '']","['Номинация', 'Туризм', 'и', 'индустрия', 'гостеприимства', 'Авиасейлс', 'Точки', 'притяжения', 'ФГБУ', 'Центр', 'содействия', 'молодым', 'специалистам', 'МТС', 'Travel', 'Ostrovokru', 'выбор', 'искусственного', 'интеллекта']","['Номинация', 'Туризм', 'и', 'индустрия', 'гостеприимства', 'Авиасейлс', 'Точки', 'притяжения', 'ФГБУ', 'Центр', 'содействия', 'молодым', 'специалистам', 'МТС', 'Travel', 'Ostrovokru', 'выбор', 'искусственного', 'интеллекта']","['Туризм', 'и', 'индустрия', 'гостеприимства', 'Авиасейлс', 'Точки', 'притяжения', 'ФГБУ', 'Центр', 'содействия', 'молодым', 'специалистам', 'МТС', 'Travel', 'Ostrovokru', 'выбор', 'искусственного', 'интеллекта']"
